lag_time ACF
3.000000 0.233653
3.500000 0.232808
4.000000 0.231114
4.500000 0.229466
5.000000 0.228723
6.000000 0.225210
7.000000 0.223783
8.000000 0.222563
9.000000 0.221868
10.000000 0.219481
12.000000 0.215548
14.000000 0.213049
16.000000 0.209054
18.000000 0.205594
20.000000 0.202789
24.000000 0.197085
28.000000 0.191933
32.000000 0.186750
36.000000 0.181920
40.000000 0.177569
48.000000 0.169173
56.000000 0.161004
64.000000 0.154007
72.000000 0.147094
80.000000 0.140987
96.000000 0.129475
112.000000 0.118901
128.000000 0.109518
144.000000 0.101249
160.000000 0.093924
192.000000 0.081225
224.000000 0.070996
256.000000 0.062211
288.000000 0.054763
320.000000 0.048941
384.000000 0.038502
448.000000 0.031016
512.000000 0.025843
576.000000 0.022002
640.000000 0.019041
768.000000 0.014365
896.000000 0.013017
1024.000000 0.012417
1152.000000 0.011997
1280.000000 0.011290
1536.000000 0.010067
1792.000000 0.008283
2048.000000 0.006625
2304.000000 0.006532
2560.000000 0.006908
3072.000000 0.007069
3584.000000 0.007936
4096.000000 0.008961
4608.000000 0.007551
5120.000000 0.006581
6144.000000 0.007123
7168.000000 0.007126
8192.000000 0.007165
9216.000000 0.006783
10240.000000 0.005635
12288.000000 0.004910
14336.000000 0.005175
16384.000000 0.004380
18432.000000 0.004679
20480.000000 0.001245
24576.000000 0.002472
28672.000000 0.001614
32768.000000 0.001743
36864.000000 0.002503
40960.000000 -0.002708
49152.000000 -0.001529
57344.000000 -0.002036
65536.000000 -0.001913
73728.000000 -0.001390
