#DESCR#
#PARAMS#
Type:;ACF
#DATA#
12,000000;0,266868
14,000000;0,268289
16,000000;0,262368
18,000000;0,254304
20,000000;0,255130
24,000000;0,244928
28,000000;0,235598
32,000000;0,231235
36,000000;0,230363
40,000000;0,220976
48,000000;0,210465
56,000000;0,205239
64,000000;0,193413
72,000000;0,185411
80,000000;0,175411
96,000000;0,157776
112,000000;0,143120
128,000000;0,134860
144,000000;0,118985
160,000000;0,111329
192,000000;0,095166
224,000000;0,081995
256,000000;0,070030
288,000000;0,058766
320,000000;0,050784
384,000000;0,038664
448,000000;0,030212
512,000000;0,022577
576,000000;0,018392
640,000000;0,015770
768,000000;0,010580
896,000000;0,010686
1024,000000;0,007133
1152,000000;0,005334
1280,000000;0,005755
1536,000000;0,005077
1792,000000;0,004658
2048,000000;0,005407
2304,000000;0,000572
2560,000000;0,001298
3072,000000;0,003964
3584,000000;0,003107
4096,000000;-0,000020
4608,000000;0,003280
5120,000000;0,002196
6144,000000;0,001220
7168,000000;0,000192
8192,000000;0,000706
9216,000000;0,001995
10240,000000;0,001716
12288,000000;0,002313
14336,000000;0,002006
16384,000000;0,001037
18432,000000;0,001382
20480,000000;0,000782
24576,000000;0,000771
28672,000000;0,001636
32768,000000;0,000923
36864,000000;-0,000618
40960,000000;0,000013
49152,000000;0,000337
57344,000000;0,000699
65536,000000;0,000273
73728,000000;0,000349
81920,000000;0,000242
98304,000000;0,000163
114688,000000;0,000041
131072,000000;0,001313
147456,000000;0,000083
163840,000000;-0,000080
196608,000000;0,000175
229376,000000;-0,000474
262144,000000;-0,000565
294912,000000;-0,000898
#END#
